"","Solar","Eolica","Prevision_solar","Prevision_Viento","Carga_prevision","Carga_real","Precio_prevision","Precio_real"
"8838",91,8076,120,8194,23434,23348,21.78,21.25
"8839",22,7888,91,7944,25669,25748,29.73,34
"8840",20,7764,116,7753,29429,29620,36,41.07
"8841",240,7732,458,7855,31627,31776,38.5,48.15
"8842",1510,7268,1537,7446,33174,33087,39.75,49.31
"8843",3557,7337,3007,7277,33962,33719,37.05,52.82
"8844",4900,7444,4379,7445,34003,33669,36.5,52.33
"8845",5410,7044,5195,7213,33799,33521,35.18,51.39
"8846",5512,6587,5397,6594,33159,32874,34.15,50.16
"8847",5436,6382,5373,6308,31902,31594,33.45,49.84
"8848",5171,5974,5159,6079,30963,30376,33.32,48.09
"8849",4874,5532,4875,5508,30709,29915,33.39,47.92
"8850",4408,5089,4377,5170,30528,29633,33.32,52.45
"8851",3702,4674,3721,4750,30032,29158,33.45,56.69
"8852",2475,4137,2307,4226,29834,29159,35.53,54.13
"8853",1100,3541,1147,3642,31322,30469,40.1,53.17
"8854",699,3194,800,3277,32939,32482,48.04,50.67
"8855",657,2710,637,2949,30811,30508,39.66,47.28
"8856",656,2320,596,2413,28583,28598,36,34.33
"8857",588,8597,554,8590,24068,23642,20.11,34.11
"8858",532,8550,529,8442,22484,21990,16.27,31.94
"8859",432,8545,498,8546,21182,20629,12.69,24.03
"8860",403,8524,440,8461,20239,19865,12.4,24.01
"8861",384,8368,374,8459,19670,19446,12.4,24.84
"8862",362,8064,274,8105,19583,19248,12.4,30.14
"8863",255,8091,178,8064,19572,19296,12.4,34.79
"8864",215,8147,271,8150,19263,18956,12.4,40.91
"8865",924,8247,897,8251,20325,20072,12.96,51.15
"8866",3060,8714,2550,8445,22712,21911,12.69,50.22
"8867",4722,9190,4232,9112,24215,23473,12.4,53.39
"8868",5237,9478,4822,9321,24632,23991,12.4,50.95
"8869",5543,9586,5225,9576,24669,23961,12.55,48.9
"8870",5779,9342,5754,9426,24488,23883,12.96,46.51
"8871",5767,9068,5791,9040,24063,23378,13.69,43.96
"8872",5632,9058,5611,9042,22565,22190,12.4,44.06
"8873",5362,8935,5313,8933,21946,21549,10,45.15
"8874",4970,9143,4876,9052,21537,21233,9.69,48.05
"8875",4325,9128,4121,9097,21695,21298,7.5,54.01
"8876",3376,9960,3138,9719,22410,21756,9.95,54.17
"8877",1900,10021,1781,9994,23946,22929,13.46,50.25
"8878",1027,10185,986,10192,26462,25815,22,45.35
"8879",745,9968,787,10159,26088,25843,21.19,43.72
"8880",726,9292,682,9524,24532,24167,18.55,41.68
"8881",715,6318,655,6168,25173,25135,37.91,29
"8882",718,6364,633,6343,23697,23717,33,23.52
"8883",719,6519,638,6351,22789,22747,31,19.49
"8884",718,6571,623,6424,22448,22440,27.09,20.07
"8885",705,6585,629,6478,22353,22396,27.09,19.28
"8886",630,6608,567,6588,22760,22737,31,19.29
"8887",484,6759,455,6710,24218,24350,33.6,19.74
"8888",576,6426,615,6514,26611,26788,38.29,22.51
"8889",1450,5820,1631,5949,29025,28705,40.87,24.78
"8890",3684,5529,3481,5482,30222,30029,41,30.18
"8891",4674,5676,4485,5519,30905,30655,40.44,30.97
"8892",5169,5607,4853,5639,31241,31057,40.51,30.75
"8893",5433,5223,5375,5349,31717,31466,39.79,26.3
"8894",5582,4851,5637,4959,31712,31369,39.94,26.78
"8895",5633,4793,5602,4784,30594,30470,39.5,24.09
"8896",5537,4836,5475,4832,29985,29970,38.83,23.46
"8897",5311,5093,5188,4971,29841,29979,39.19,24.39
"8898",4922,5469,4837,5321,29856,29924,39.5,28.8
"8899",4348,5630,4225,5615,29585,29640,39.01,33.5
"8900",3595,5749,3439,5729,29560,29409,38.69,41.65
"8901",2317,5371,2296,5510,29800,29484,39.01,41.42
"8902",1095,4843,1199,4975,29960,30027,40.5,40.77
"8903",775,4665,772,4701,29203,29332,40.5,35.45
"8904",755,4576,682,4526,26937,26854,41.83,27.13
"8905",576,3719,523,3732,28420,28425,46,25.1
"8906",518,3396,578,3440,26738,26609,44.7,19.64
"8907",504,2998,414,2974,25447,25442,42.7,18.25
"8908",503,2625,405,2588,24845,24864,41,17.68
"8909",500,2278,425,2271,24631,24609,41,16.72
"8910",490,1876,416,1967,24844,24776,42,17.54
"8911",419,1578,385,1599,26240,26062,44,25.36
"8912",411,1317,561,1355,28463,28023,45.16,34.63
"8913",1034,976,1385,1063,30556,30354,47.12,47.89
"8914",2595,750,2874,780,32594,32641,46.83,49.95
"8915",4147,683,4084,700,33869,33925,48,50.92
"8916",4864,752,4578,798,34426,34542,47.79,49.94
"8917",5168,943,4993,933,35245,35364,48.69,49.38
"8918",5329,1311,5301,1282,35602,35804,48.69,47.83
"8919",5289,1788,5255,1714,34652,34702,47.54,44.59
"8920",5137,2320,5152,2234,33835,33939,46.07,41.93
"8921",4926,2872,4917,2843,33787,33753,41.1,42.21
"8922",4580,3132,4577,3201,33761,33510,40.63,48.8
"8923",4024,3525,3969,3411,33448,33079,37.27,51.2
"8924",3347,3914,3158,3932,32958,32697,36.06,52.68
"8925",2353,4551,2137,4260,32064,32172,39.28,47.37
"8926",1137,4904,1167,4886,31400,31560,39.98,43.92
"8927",739,5292,764,5271,31114,30943,40,41.9
"8928",670,5223,679,5274,29299,29025,37.8,37.84
"8929",532,6293,460,6262,26600,26986,44.32,32.62
"8930",525,5968,422,5968,24731,25125,37.79,27.26
"8931",520,5669,334,5694,23537,23969,35.52,25.61
"8932",522,5386,321,5430,22969,23281,34.84,25.73
"8933",521,5303,350,5276,22601,23088,34.59,25.19
"8934",517,5326,307,5253,23006,23573,34.72,27.59
"8935",496,5214,250,5185,25030,25487,35.71,34.95
"8936",524,5127,372,5066,26844,27299,41.25,44.57
"8937",993,4438,1192,4661,29038,29776,44.98,47.76
"8938",2345,3347,2403,3534,31278,31487,46.1,46.61
"8939",4156,2692,3805,2802,32931,33239,46.44,48.58
"8940",4719,2156,4566,2276,33771,34169,45.3,46.67
"8941",5003,1783,4998,1895,34599,35215,46.89,45.89
"8942",5145,1610,5226,1657,35285,35892,47.89,44.69
"8943",5156,1826,5195,1763,34880,35288,47.69,42
"8944",5072,2147,5064,2166,34201,34479,47.01,42.75
"8945",4856,2469,4814,2492,34132,34240,46.89,46.02
"8946",4526,2657,4447,2837,34084,34101,46.16,53.46
"8947",4026,3017,3879,3020,33618,33693,44.01,57.56
"8948",3290,3409,3044,3508,33029,32919,44.5,58.36
"8949",2000,3734,1903,3724,32652,32267,47,59.28
"8950",928,4159,1063,4078,33050,32709,48,57.47
"8951",684,4641,748,4535,32211,32355,46.89,48.63
"8952",668,4976,653,4853,30056,29998,40.4,44.67
"8953",386,6243,408,6235,28296,28284,37.76,40.24
"8954",388,5671,386,6095,26503,26487,36,37.91
"8955",365,5340,308,5384,25362,25264,35.26,34.47
"8956",257,4799,243,4951,24827,24744,35.26,35.98
"8957",146,4487,169,4456,24500,24505,35.26,33.96
"8958",42,4346,168,4256,24753,24766,35.47,34.25
"8959",42,4080,36,4149,26416,26459,39.6,33.64
"8960",64,3693,71,3796,28640,28734,44.4,34.35
"8961",366,3209,447,3282,30649,30505,45,38.4
"8962",1410,2686,1372,2756,32675,32582,46.7,43.06
"8963",3368,2676,3126,2509,34003,34111,46.7,43.13
"8964",4379,2731,4280,2632,35151,35067,45.69,42.48
"8965",4806,2744,4765,2711,35988,36201,45.15,39.31
"8966",4900,2696,5076,2706,36537,36769,45.68,38.42
"8967",4936,2765,4891,2703,35890,36004,44.78,35.94
"8968",4860,2832,4672,2790,35028,35417,43.6,29.85
"8969",4674,2842,4293,2834,34955,35492,44.35,30.75
"8970",4161,3230,3697,2996,34969,35529,45.22,38.95
"8971",3345,3690,2975,3376,34581,34992,45.69,45.38
"8972",2159,3772,2081,3806,33973,34052,45.76,43.37
"8973",1010,3395,1082,3804,33778,33899,46.74,37.94
"8974",662,3211,636,3434,35038,34957,47.19,34.54
"8975",636,3027,541,3195,32719,32547,44.4,33.3
"8976",583,2774,469,2895,30412,30096,41.24,31.12
"8977",307,4093,272,4219,25111,25362,45.29,22.52
"8978",162,3590,268,3768,23895,24135,40.85,17.17
"8979",70,3396,150,3388,22949,23117,39,15.49
"8980",51,3127,87,3186,22382,22487,37.94,14.47
"8981",51,2693,19,2873,22066,22063,37.9,14.02
"8982",51,2358,31,2466,21913,21869,37.69,13.3
"8983",52,1972,32,2089,22335,22198,38.35,13.8
"8984",61,1890,25,1831,23645,23304,40.71,12.32
"8985",130,1848,222,1786,24237,23972,44.69,14.33
"8986",809,1640,999,1678,25803,25986,48.6,17.03
"8987",2410,1245,2560,1357,27126,27375,47.81,17.16
"8988",4036,1115,3971,1126,27672,27734,46.78,19.2
"8989",4546,1233,4417,1196,27857,28090,47.69,18.12
"8990",4762,1487,4697,1437,28107,28276,48.66,23.23
"8991",4635,1809,4741,1782,27492,27507,46.07,21.41
"8992",4420,2101,4485,2086,26408,26346,41.24,18.82
"8993",4108,2275,4034,2363,25790,25651,40.13,18.33
"8994",3485,2398,3342,2418,25585,25559,39.44,19.01
"8995",2356,2573,2398,2531,25761,25497,46.69,36.2
"8996",1027,2470,1241,2623,26541,26352,47.01,41.31
"8997",492,2794,578,2650,28958,28617,50.05,39.42
"8998",252,3024,306,2922,28873,28678,50.08,35.9
"8999",188,2853,205,2881,26601,26798,48.87,33.86
"9000",181,2614,231,2662,24811,24930,44.69,25.49
"9001",20,3656,55,3596,22000,22557,47.44,15.28
"9002",20,3718,7,3696,21200,21261,42.74,12.83
"9003",20,3607,5,3655,20653,20403,41.8,13.02
"9004",20,3499,0,3527,20321,19960,41.48,12.86
"9005",20,3477,0,3418,20097,19710,41.48,13.09
"9006",20,3477,1,3456,20000,19764,41.48,14.75
"9007",21,3376,2,3413,20206,20230,41.8,15.24
"9008",33,3308,29,3282,20210,20643,43.17,28.22
"9009",362,3206,351,3275,20127,21168,45.43,47.22
"9010",1110,2778,1031,2945,21791,22967,47.52,47.43
"9011",1840,2630,1796,2645,22902,24202,48.49,47.25
"9012",2338,2440,2344,2488,23432,24650,48.3,44.04
"9013",2611,2166,2665,2259,23769,24634,48.27,41.29
"9014",2645,1999,2848,2024,24409,25068,48.22,42.58
"9015",2545,1831,2779,1826,24460,24807,48.22,39.51
"9016",2373,1603,2430,1640,23217,23577,47.41,38.77
"9017",1883,1518,1861,1467,22702,22945,47.41,41.33
"9018",829,1444,959,1415,22805,23000,54.4,46.26
"9019",147,1377,368,1347,25003,25449,65.56,53.57
"9020",71,1389,103,1369,26343,27006,67.15,50.56
"9021",50,1328,33,1325,27080,27672,66.46,50.92
"9022",33,1346,31,1317,27032,27136,63.57,49.77
"9023",32,1297,4,1326,25538,25633,59.98,43.66
"9024",32,1284,6,1281,23796,23727,55.4,36.85
"9025",41,6934,6,7033,27167,27046,58.23,29.94
"9026",42,6643,0,6756,25105,25058,55,23.23
"9027",41,6134,1,6278,23864,23874,51.44,18.81
"9028",40,5806,3,5884,23355,23410,50.39,20.34
"9029",40,5040,13,5231,23256,23365,50.39,19.29
"9030",40,4520,13,4643,23997,24116,53.5,23.95
"9031",41,4311,6,4182,26510,26763,58.26,34.22
"9032",52,4138,2,4174,30847,30980,64.99,44.15
"9033",77,3813,70,3939,33511,33422,68.33,48.98
"9034",374,3327,382,3551,34311,34280,66.64,49.05
"9035",741,2905,789,3033,34654,34630,68,50.63
"9036",1006,2655,1115,2678,34478,34707,67.84,50.28
"9037",1186,2312,1251,2389,34281,34684,68.25,46.57
"9038",1106,2094,1283,2075,34061,34732,68.84,44.76
"9039",1046,1843,1149,1903,32975,33651,68.56,41.91
"9040",823,1600,816,1669,32565,33084,68.33,41.61
"9041",412,1453,479,1499,32476,33033,68.25,44.68
"9042",109,1571,117,1510,33518,33961,68.84,50.88
"9043",68,1570,0,1655,35594,35578,72.01,67.59
"9044",58,1525,0,1584,35981,35923,72.61,74.92
"9045",57,1541,8,1592,36106,36345,72.69,76.66
"9046",43,1579,5,1583,35249,35454,72.01,74.51
"9047",43,1643,4,1626,32607,32681,69.65,61.13
"9048",42,1721,3,1716,29665,29650,68.42,49.99
"9049",48,3552,4,3590,27456,27421,40.04,46.45
"9050",47,3150,2,3174,25342,25382,30.69,37.61
"9051",46,2748,1,2836,24406,24219,25.13,32.41
"9052",45,2502,0,2478,23887,23562,24.34,31.88
"9053",45,2643,0,2547,23552,23555,24.28,31.62
"9054",46,2914,3,2817,24200,24198,24.33,31.86
"9055",55,3268,2,3138,26662,26792,30.69,37.95
"9056",63,3539,17,3547,31129,31474,46.83,53.68
"9057",83,3929,72,3805,34162,34420,51.76,60.48
"9058",576,4344,508,4321,34856,35186,54.99,62.55
"9059",1488,4919,1287,4790,35357,35613,54.99,63.92
"9060",2239,5345,1846,5291,35216,35477,50,59.11
"9061",2733,6012,2539,5883,34823,35152,46,54.45
"9062",2861,6621,2742,6445,34716,34980,45.66,52.93
"9063",2767,7064,2646,7069,33571,33798,40.38,48.32
"9064",2348,7030,2234,7175,33077,33252,40.04,47.73
"9065",1763,6918,1717,7013,32985,33146,40.04,47.71
"9066",836,6970,913,6947,33433,33652,43,51.03
"9067",198,7497,406,7361,35318,35573,50.07,61.4
"9068",74,8085,18,7976,36251,36708,49.98,61.46
"9069",38,8434,4,8424,36371,36875,44.5,55.52
"9070",30,8778,5,8690,35412,36084,42,50.7
"9071",29,9251,9,9064,32944,33413,38.09,45.97
"9072",28,9699,6,9538,29832,30202,36,43.89
"9073",18,10137,2,9965,27706,27936,26.4,34.68
"9074",17,10262,1,10266,25603,25936,17,26.01
"9075",17,9731,0,9898,24440,24731,10,19.17
"9076",17,9005,1,9300,23789,24167,8.5,18.23
"9077",17,8674,6,9262,23614,24087,8,17.05
"9078",17,8761,7,8936,24167,24584,11,20.37
"9079",18,8165,5,8503,26613,27035,23.17,31.85
"9080",24,8020,2,7935,31019,31511,40.16,46.93
"9081",39,7982,73,7878,34050,34484,46.94,55.96
"9082",320,7888,452,7952,34662,35004,46.3,54.26
"9083",682,7214,1047,7421,35198,35425,47.51,56.63
"9084",934,6794,1450,6780,35116,35679,47.21,56.62
"9085",988,7224,1455,6895,34838,35646,48.37,57.92
"9086",909,7217,1343,7308,34798,35559,50,58.08
"9087",776,7180,1032,7136,33679,34366,45.7,53.19
"9088",644,7440,732,7356,33085,33763,42.99,50.71
"9089",400,7450,486,7490,32974,33641,42.34,49.57
"9090",89,7126,269,7341,33317,34137,47.52,56.39
"9091",32,6926,45,7029,35233,35735,54.1,65.35
"9092",31,6540,0,6662,36327,36701,53.9,64.79
"9093",31,6216,9,6365,36478,36677,47.28,57.99
"9094",23,5940,10,6065,35682,35828,46.02,56.46
"9095",23,5708,0,5844,33064,33228,40.16,47.08
"9096",23,5662,2,5637,30085,30088,35.64,42.97
"9097",23,5682,0,5702,27961,27672,35.64,42.77
"9098",23,5814,0,5833,25947,25688,28,35.32
"9099",23,5957,0,5918,24740,24408,24.36,31.76
"9100",28,6162,1,6112,24150,23893,23.5,31.42
"9101",29,6504,6,6484,23997,23765,22.94,30.17
"9102",23,6447,6,6664,24511,24392,27,34.04
