"","Solar","Eolica","Prevision_solar","Prevision_Viento","Carga_prevision","Carga_real","Precio_prevision","Precio_real"
"9199",21,5083,2,6639,27880,27449,43.47,51.06
"9200",23,4455,1,6386,32565,32326,54.1,59.77
"9201",49,3856,34,3872,35993,35535,61.57,68.99
"9202",490,3442,488,3484,36512,36174,62.99,70.46
"9203",1085,2904,1149,2963,37186,36561,64.54,73.22
"9204",1581,2509,1712,2497,36975,36416,62.01,70.27
"9205",1870,2239,1924,2265,36490,35980,58.98,67.18
"9206",1867,2110,1956,2072,36246,35733,58.53,65.22
"9207",1636,1985,1755,1949,34992,34662,55.81,62.72
"9208",1274,1928,1324,1895,34378,34144,55.5,62.32
"9209",737,1658,810,1743,34258,34045,56.21,63.03
"9210",268,1466,358,1477,34679,34591,60,69.81
"9211",70,1677,40,1613,36370,36577,65,76.92
"9212",52,1761,7,1824,37805,37962,66.71,78.29
"9213",44,1883,9,1848,38028,38071,60.03,71.47
"9214",24,2117,10,2077,37462,37231,53.03,61.53
"9215",22,2118,10,2216,34717,34426,49.74,57.09
"9216",19,2233,9,2239,31235,30932,45,52.55
"9217",19,2482,9,2461,28189,28222,42.21,47.68
"9218",18,2968,6,2791,26028,25955,39.68,45.42
"9219",18,3361,6,3297,24776,24813,36.64,41.73
"9220",19,3218,8,3390,24244,24307,34.47,39.72
"9221",19,2804,10,2959,24164,24212,33.49,38.64
"9222",19,2668,10,2693,24843,24793,37.27,42.55
"9223",18,2737,9,2858,27477,27378,42.04,48.54
"9224",22,2468,12,2562,32195,32354,55.08,60.45
"9225",33,2244,58,2394,35598,35577,61.08,68.12
"9226",290,1743,417,1936,36212,36514,62.5,69.83
"9227",877,1525,954,1577,36679,36929,64.64,74.13
"9228",1383,1400,1403,1390,36633,36499,61.58,70.76
"9229",1708,1466,1741,1425,36208,36035,58.6,66.93
"9230",1862,1708,1849,1653,36003,35688,57.8,64.62
"9231",1773,1898,1790,1906,34797,34434,54.95,61.96
"9232",1495,2025,1442,2014,34252,33737,52.42,59.69
"9233",1022,2186,891,2152,34079,33688,61.58,68.42
"9234",357,2526,384,2342,34490,34107,62.01,71.93
"9235",59,3296,120,3056,36258,35952,64.98,77.48
"9236",35,3583,11,3690,37609,37314,66,78.08
"9237",33,3570,10,3595,37637,37527,65.33,76.66
"9238",22,3804,10,3775,36762,36520,60.33,68.45
"9239",22,4067,8,4031,34111,33839,52.32,59.14
"9240",21,4377,8,4354,30809,30538,46.57,56.87
"9241",29,4451,2,4623,28272,27991,41.73,47.23
"9242",37,4218,2,4348,26112,25797,40.1,46.32
"9243",36,4199,4,4231,24739,24501,38.53,44.39
"9244",22,4289,13,4292,24208,23998,37.33,43.48
"9245",21,4575,16,4513,24054,23886,36.62,42.48
"9246",21,4812,10,4700,24668,24549,38.41,44.42
"9247",20,5047,8,4936,27243,27280,42.1,48.8
"9248",23,4945,16,4997,32028,32095,49.77,55.78
"9249",45,4691,69,4771,35067,35003,57,64.47
"9250",458,4271,409,4313,35742,35707,58.51,66.66
"9251",1068,4047,913,4029,36204,36281,60,69.24
"9252",1415,3899,1366,3879,36011,36035,59.99,68.77
"9253",1583,3966,1680,3903,35664,35779,59.91,68.73
"9254",1688,4124,1777,4046,35455,35599,57.69,64.53
"9255",1581,4259,1725,4230,34221,34331,57.99,64.95
"9256",1322,4313,1406,4290,33598,33846,58.31,65.42
"9257",868,4240,871,4356,33521,34028,57.43,64.58
"9258",243,3907,356,4018,33899,34504,57.11,66.03
"9259",36,4191,72,4013,35677,36109,60,71.23
"9260",33,4351,1,4386,37109,37423,61.33,71.95
"9261",32,4531,7,4554,37244,37468,60.01,70.58
"9262",24,4660,11,4641,36570,36555,46.38,54.91
"9263",24,4824,9,4771,33884,33817,45.82,53.63
"9264",23,4835,8,4848,30616,30587,44.57,52.35
"9265",22,4740,9,4772,27994,28033,40.45,46.17
"9266",21,4678,9,4698,25818,26102,39.21,45.6
"9267",22,4788,9,4763,24509,24711,37.48,43.91
"9268",22,4753,10,4752,23974,24148,36.07,42.2
"9269",21,4802,10,4855,23868,24103,34.55,40.46
"9270",21,4699,12,4656,24445,24749,34.55,40.9
"9271",21,4671,9,4621,27015,27295,39.8,46.42
"9272",21,4714,31,4706,31403,31913,49.26,55.71
"9273",40,4549,83,4587,34324,34785,52.5,60.01
"9274",342,4203,476,4296,34873,35569,52.51,59.86
"9275",805,3938,1062,3937,35605,35967,51.6,60.69
"9276",1107,3812,1460,3941,35454,35758,51.45,59.86
"9277",1241,3571,1518,3604,34951,35320,51,59.79
"9278",1263,3572,1564,3531,34662,35137,52,59
"9279",1249,3173,1425,3263,33367,33741,51.51,58.78
"9280",1115,2819,1121,2868,32468,33041,50.1,57.37
"9281",911,2479,725,2559,32165,32828,50.1,57.41
"9282",521,2340,323,2258,32430,32907,49.64,57.76
"9283",173,2461,70,2353,34091,34408,53.1,64.6
"9284",66,2474,31,2486,35415,35512,54,65.44
"9285",64,2635,29,2557,35420,35335,53.78,65.09
"9286",45,2783,12,2713,34758,34802,53.1,61.92
"9287",29,2820,9,2942,32503,32627,51.6,59.08
"9288",29,2646,8,2718,29933,30025,44.49,52.1
"9289",28,2866,7,2783,28032,27902,46.1,52.27
"9290",28,2884,1,2915,26014,25682,42.69,49.03
"9291",27,3035,7,2955,24389,24283,39.5,46.49
"9292",27,3083,11,3109,23543,23496,39.5,46.32
"9293",27,3077,11,3065,23219,23013,39.5,46.51
"9294",28,3097,11,3062,23176,22880,39.1,46.16
"9295",27,3018,13,3067,23759,23410,39,46.11
"9296",29,3034,16,2999,25380,25031,39.5,46.6
"9297",29,3230,74,3156,26797,26616,39.5,46.12
"9298",285,3389,444,3385,29261,29158,39.5,45.64
"9299",896,3391,995,3456,31219,31102,42.71,48.57
"9300",1561,3456,1506,3426,31327,31227,43.5,49.3
"9301",2112,3418,1970,3466,30730,30514,40.25,46.28
"9302",2433,3291,2323,3323,30612,30339,42.56,48.71
"9303",2498,3191,2425,3211,29869,29387,39.75,46.79
"9304",2397,3052,2098,3094,28645,28137,39.5,46.64
"9305",1894,2582,1435,2766,28052,27400,39.5,46.66
"9306",836,2063,718,2263,28111,27264,40,47.18
"9307",116,1999,346,1939,30200,29144,45.6,53.29
"9308",39,2059,87,2123,31777,30855,51.97,60.13
"9309",32,2024,38,2060,32179,31189,51.97,59.94
"9310",23,2067,27,2062,32022,31254,51.1,58.41
"9311",21,2229,22,2194,30411,29814,46.1,52.41
"9312",21,2505,9,2464,28294,27761,40.69,47.57
"9313",16,2587,2,2602,25801,25595,36.5,45.3
"9314",13,2814,2,2721,23709,23640,34.34,43.22
"9315",13,3083,3,3007,22203,22264,33.49,42.55
"9316",13,3290,3,3252,21405,21493,33,43.05
"9317",12,3338,2,3353,20990,21165,32.98,42.81
"9318",11,3395,4,3408,21020,21121,32.98,42.67
"9319",11,3683,5,3581,21476,21416,32.69,42.33
"9320",12,4069,27,4039,22388,22033,32,41.98
"9321",34,4641,81,4501,22968,22686,32,41.8
"9322",609,5248,641,5247,24620,24652,33.14,42.32
"9323",1567,5497,1475,5573,26533,26677,33.99,42.39
"9324",2421,5514,2215,5486,27396,27351,34,41.21
"9325",3209,5841,2768,5667,27308,27129,34.93,42.47
"9326",3393,6032,3099,6020,27681,27366,35.49,43.56
"9327",3316,5971,3190,6006,27436,27160,34.89,43.42
"9328",3107,5918,2715,5962,26212,25942,34.89,43.47
"9329",2459,5809,1934,5940,25535,25285,33.4,42.09
"9330",1066,5528,1121,5739,25530,25271,33.84,44.67
"9331",178,5776,505,5648,27633,27393,36.09,45.17
"9332",22,6059,198,6096,29534,29919,36.59,44.6
"9333",19,6168,51,6190,30572,30986,36.5,44.59
"9334",12,6575,28,6468,30980,31188,36.5,44.31
"9335",12,6993,8,6979,29706,30141,36.26,43.54
"9336",12,7464,8,7322,27378,27640,36.09,44.06
"9337",12,7920,2,7894,25051,25027,33.64,43.86
"9338",12,7939,3,7897,23170,23121,30.95,42.07
"9339",12,7782,2,7803,22052,22169,24.99,35.9
"9340",12,7591,2,7565,21612,21953,23.12,33.6
"9341",11,7156,1,7250,21625,22281,20.33,31.49
"9342",12,6707,3,6602,22411,22807,24.96,36.19
"9343",11,6370,3,6295,25300,25716,33.34,43.11
"9344",15,5954,11,6023,29967,30429,42.57,50.64
"9345",40,5419,80,5535,33039,33289,48.47,56.71
"9346",429,4879,518,4982,34077,34131,48.1,55.8
"9347",1149,4340,1175,4401,34812,34463,51.75,60.43
"9348",1704,4002,1821,3989,34546,34461,52.1,60.33
"9349",2109,3194,2378,3515,34166,34084,51.89,60.36
"9350",2106,2617,2512,2736,33844,33877,52.5,60.14
"9351",1953,1984,2405,1962,32664,32707,50.6,58.44
"9352",1633,1549,1960,1680,31971,31908,52.29,59.84
"9353",1040,1138,1316,1237,31786,31660,52.69,59.84
"9354",368,814,524,865,31981,31960,54.1,62.17
"9355",59,699,97,686,33524,33634,57.48,68.12
"9356",36,697,3,677,35485,35427,62.49,72.32
"9357",26,564,3,607,35630,35742,62.98,72.57
"9358",21,451,5,500,34895,34888,62.49,70.99
"9359",21,407,2,428,32278,32218,55.44,62.64
"9360",22,345,4,367,29148,29032,52.69,60.06
"9361",22,418,4,397,26728,27018,50.1,56.79
"9362",22,470,5,482,24757,25028,44.52,51.03
"9363",22,446,4,450,23848,23973,40.72,47.2
"9364",22,561,5,522,23555,23498,40.1,46.82
"9365",22,764,9,669,23639,23313,39.92,46.59
"9366",22,1072,10,980,24101,23985,40.1,46.43
"9367",22,1334,9,1304,26545,26596,45.1,52.18
"9368",24,1398,14,1452,31086,31080,50.6,56.13
"9369",26,1525,64,1501,33976,33918,54.62,62.32
"9370",225,1745,459,1682,34742,34567,53.9,60.83
"9371",684,1811,973,1822,34919,34985,54.46,62.72
"9372",1169,1884,1332,1786,34643,34759,53.12,61.17
"9373",1501,1963,1552,1956,34148,34501,52.9,61.22
"9374",1698,2117,1762,2064,33882,34328,52.98,60.1
"9375",1682,2237,1687,2225,32737,32994,48.86,56.41
"9376",1461,2359,1493,2265,32038,32401,48.86,56.34
"9377",1114,2546,1172,2464,31873,32197,47.69,54.97
"9378",627,2738,577,2686,32343,32359,51,59.21
"9379",191,2891,128,2898,34157,33962,53.02,63.7
"9380",39,2859,34,2904,36077,35859,54.9,66.21
"9381",30,2768,29,2801,36340,36244,54.5,65.41
"9382",24,2951,17,2907,35582,35565,53.12,61.68
"9383",23,3101,7,3042,32870,32719,50.35,57.54
"9384",23,3204,7,3199,29565,29521,44,51.41
"9385",23,3208,7,3196,27301,27219,43.15,49.71
"9386",23,3249,7,3219,25241,25294,38.69,46.05
"9387",21,3313,8,3292,24144,24026,37.69,44.84
"9388",21,3457,9,3423,23662,23580,37.49,44.36
"9389",21,3619,9,3607,23563,23533,36.4,43.18
"9390",22,3658,11,3640,24165,24083,37.69,44.88
"9391",21,3821,6,3775,26718,26674,38.55,46.64
"9392",25,3837,24,3859,31218,31367,40.01,46.36
"9393",32,3857,82,3871,34223,33898,48.42,56.24
"9394",280,3875,509,3880,34980,34723,49.49,56.89
"9395",719,4036,1111,3997,35287,34952,50.1,58.94
"9396",1239,4262,1709,4207,35100,34825,48.86,57.46
"9397",1735,4330,1869,4346,34705,34468,47.18,55.95
"9398",1970,4383,2052,4423,34310,34324,47.18,54.38
"9399",2063,4310,2069,4352,33193,33087,42.65,50.12
"9400",2004,4302,1781,4330,32450,32455,39.58,47.21
"9401",1588,4330,1398,4332,32306,32179,39.27,46.78
"9402",811,4331,737,4328,32659,32402,42.65,51.38
"9403",201,4430,230,4407,34319,34025,47.18,58.62
"9404",40,4614,80,4575,36037,35807,49.3,60.21
"9405",34,4735,51,4692,36180,36066,49.49,59.88
"9406",26,4885,29,4900,35381,35282,48.42,57.09
"9407",26,4771,10,4825,32723,32572,45.1,52.2
"9408",27,4509,10,4613,29538,29506,39.27,46.4
"9409",26,4320,10,4405,27501,27170,39.95,46.48
"9410",26,4040,9,4020,25401,25087,38.25,45.15
"9411",25,3531,8,3564,24108,23820,37.49,44.45
"9412",26,3248,10,2990,23667,23349,37.4,44.09
"9413",25,2999,8,2978,23558,23270,37.31,44.01
"9414",26,2617,8,2785,24151,23837,38.19,45.48
"9415",25,1988,10,2150,26696,26329,39.58,47.26
"9416",25,2129,11,1880,31261,30815,50.35,56.08
"9417",49,2495,76,2361,33899,33507,51.53,59.02
"9418",394,2509,467,2554,34658,34188,51.78,59.32
"9419",930,2334,947,2365,35078,34555,52.99,61.99
"9420",1313,2613,1326,2467,35072,34585,51.6,60.58
"9421",1539,2832,1596,2787,34817,34364,51.62,60.6
"9422",1535,2779,1630,2818,34685,34447,52.69,59.61
"9423",1323,2688,1509,2664,33484,33404,52.69,59.99
"9424",937,2694,1175,2651,32876,32958,52.5,59.67
"9425",559,2529,733,2568,32822,32824,51.62,58.92
"9426",221,2422,279,2454,33112,33062,51.1,59.37
"9427",57,2351,67,2418,34734,34403,51.78,64.03
"9428",48,2280,6,2290,36421,36016,52.99,64.58
"9429",48,2317,8,2332,36451,36105,51.89,63.24
"9430",39,2463,10,2458,35794,35306,51,59.66
"9431",45,2381,8,2433,32980,32601,48,55.17
"9432",53,2601,8,2459,29797,29557,39.95,46.9
"9433",47,2810,8,2895,27449,27306,40,46.69
"9434",38,2933,11,2933,25400,25299,37.99,45.11
"9435",37,3126,11,3131,24113,24024,35.85,42.72
"9436",37,3086,10,3150,23628,23490,34.98,41.83
"9437",37,3233,9,3191,23524,23345,34.02,40.84
"9438",37,3290,8,3304,24073,23961,35.55,42.43
"9439",36,3234,7,3235,26583,26402,37.69,44.8
"9440",38,3103,15,3183,31140,30730,45.32,51.43
"9441",43,3018,73,2998,34024,33390,49.99,57.24
"9442",238,3063,489,3014,34898,34230,49.94,57.68
"9443",620,3034,1044,3088,35437,34860,49.6,58.77
"9444",1034,2878,1384,2956,35404,34820,48.47,57.76
"9445",1333,2622,1483,2739,34938,34472,47,55.48
"9446",1438,2130,1555,2246,34774,34237,49.99,56.94
"9447",1343,1722,1465,1725,33464,32993,48.95,56.15
"9448",1258,1442,1218,1525,32768,32371,48,55.29
"9449",1089,1242,873,1280,32507,32086,48.68,56.07
"9450",590,1218,461,1202,32570,32049,49.83,58.42
"9451",114,1360,131,1287,33968,33235,50.11,60.77
"9452",30,1422,34,1423,35433,34921,51.6,62.9
"9453",25,1578,18,1485,35318,34867,51.1,62.42
"9454",20,1759,1,1748,34767,34302,50.45,60.15
"9455",20,1980,2,1937,32593,32177,49.95,57.07
"9456",20,2195,1,2173,29980,29489,47.5,54.52
"9457",20,2451,0,2416,27715,27662,49.5,56.25
"9458",20,2849,3,2731,25572,25660,44.99,52.45
"9459",20,2988,6,3030,24027,24106,42.24,49.7
"9460",20,3167,5,3088,23205,23276,39.92,47.97
"9461",20,3490,4,3369,22819,22893,39.04,47.18
"9462",20,3644,3,3747,22728,22841,38.6,46.79
"9463",20,3843,2,3802,23264,23253,38.19,46.56
"9464",23,4021,26,4005,24671,24655,37.69,46.55
"9465",42,4288,101,4135,26182,26373,37.69,44.53
"9466",539,4602,727,4507,28744,28990,36.8,43.34
"9467",1289,4801,1631,4779,30645,30965,37.69,43.67
"9468",2002,5162,2402,5151,30866,30907,37,42.96
"9469",2675,5523,2919,5477,30282,30223,35.98,42.28
"9470",3023,6123,3051,6017,30203,30049,36,42.37
"9471",3144,6610,3003,6655,29434,29306,37.01,43.43
"9472",2965,6733,2826,6779,28264,28055,35.7,42.52
"9473",2715,7039,2271,7030,27607,27312,35,41.64
"9474",1547,7462,1215,7413,27556,27155,35.7,43.37
"9475",403,7983,350,7808,29441,29016,36,44.46
"9476",119,8784,131,8644,31176,30999,37.69,45.75
"9477",104,9446,95,9243,31736,31700,37.49,45.27
"9478",79,9734,65,9789,31692,31771,37.4,45.16
"9479",50,9742,12,9800,30246,30296,37,43.64
"9480",39,9931,21,9679,28126,28200,35.7,42.37
"9481",37,10228,15,10133,25857,25833,34.5,43.75
"9482",34,10403,13,10250,23841,23820,26.4,36.56
"9483",34,10533,15,10415,22293,22863,20.1,30.36
"9484",34,9959,4,10133,21461,22056,20,30.04
"9485",34,9834,12,9855,21091,21622,15.01,25.36
"9486",34,9774,12,9697,21137,21588,18,27.21
"9487",33,9733,8,9557,21457,21940,20,28.54
"9488",34,9893,73,9831,22139,22543,22,30.54
"9489",48,9645,104,9770,22810,23143,26.1,33.53
"9490",565,9628,733,9810,24500,24923,31.75,39.82
"9491",1361,8859,1600,8939,26509,26753,35.3,42.91
"9492",2183,8412,2246,8408,27364,27460,35.6,42.37
"9493",2869,8293,2959,8132,27224,27252,34.5,40.6
"9494",3133,8267,3317,8241,27627,27511,35.1,41.77
"9495",3177,8173,3469,8056,27493,27233,35.1,42.08
"9496",3063,8039,3140,8128,26325,25912,33.9,41.45
"9497",2759,7645,2409,7700,25739,25176,33.3,41.83
"9498",1633,7298,1445,7415,25630,25161,34.6,44.71
"9499",531,6909,698,7023,27573,26880,39.64,49.01
"9500",120,6760,256,6856,29662,29724,47.64,55.52
"9501",90,6756,140,6679,30815,30838,48.98,56.29
"9502",69,6679,34,6698,31181,30858,49.45,56.86
"9503",50,6621,16,6644,30099,30094,47.28,53.9
"9504",47,6180,10,6338,27607,27699,40.62,46.86
"17545",30,1760,5,1732,24255,24401,58.82,67.85
"17546",30,1825,1,1826,23326,23393,58.23,68.2
"17547",50,1814,5,1823,22287,21909,51.95,63.6
"17548",87,1792,10,1777,21038,20615,47.27,59.54
"17549",92,1712,24,1746,20079,19628,45.49,56.52
"17550",92,1662,30,1662,19841,19252,44.5,54.65
"17551",92,1695,40,1684,19792,19351,44.5,54.16
"17552",88,1789,46,1780,20109,19691,44.72,54.28
"17553",59,1769,100,1803,20369,19600,44.22,54.26
"17554",386,1684,563,1737,21056,20238,45.13,54.97
"17555",1105,1485,1377,1562,22565,22001,46.23,54.99
"17556",1796,1454,2056,1433,24022,23417,47.91,57.47
"17557",2368,1511,2385,1506,24578,24064,49.57,59.12
"17558",2565,1542,2716,1541,25077,24655,48.69,58.23
"17559",2619,1547,2763,1565,24910,24680,47.2,56.56
"17560",2468,1437,2495,1475,23645,23427,46.51,56.73
"17561",1907,1433,2051,1441,23141,22972,46.52,57.24
"17562",860,1615,993,1506,23863,23540,51.59,62.94
"17563",190,2134,339,2015,26745,26259,59.07,69.63
"17564",81,2447,80,2460,28027,27668,62.1,70.58
"17565",80,3032,22,2840,28425,28683,64.2,72.12
"17566",63,3609,29,3395,29131,29180,60.69,68.79
"17567",39,4002,3,3907,29086,28618,59.07,66.8
"17568",33,4423,13,4296,26752,26357,52,60.59
"17569",26,5485,11,5435,27884,27653,70.25,64.04
"17570",26,5344,10,5520,25872,25598,60.71,59.11
"17571",25,4741,9,5074,24657,24398,59.75,56.35
"17572",24,4360,9,4496,24230,23780,54.25,54.6
"17573",25,4664,10,4505,24111,23657,53.9,54.29
"17574",24,5567,11,5198,24713,24335,55,56.04
"17575",24,6175,11,5949,27379,26983,63.16,60.1
"17576",32,6675,18,6489,32155,31816,76.51,66.4
"17577",77,6730,119,6847,34854,34581,78.64,73.37
"17578",535,6397,623,6505,35512,35414,79.11,72.19
"17579",1036,6084,1254,6258,35602,35533,79.11,76.33
"17580",1470,6169,1713,6103,35305,35407,78.44,74.26
"17581",1831,6757,1769,6561,34910,35145,76.64,74.09
"17582",1959,7167,1892,7063,34685,34889,75.47,71.77
"17583",1899,7436,1829,7385,33532,33733,72.61,68.43
"17584",1849,7516,1675,7608,32922,33114,69.06,67.27
"17585",1500,7489,1247,7715,32655,32743,66,68.1
"17586",756,7431,693,7543,32655,32689,70.31,76.3
"17587",192,7392,197,7493,33668,33801,76.1,82.18
"17588",71,7889,48,7755,36028,35786,77.2,83.37
"17589",46,8315,17,8245,36473,36345,75.11,79.21
"17590",28,8638,16,8732,35684,35573,72.9,73.19
"17591",31,9009,10,8941,33114,32880,62.85,67.48
"17592",45,9458,10,9423,30134,29812,55.1,67.02
"17593",39,8232,21,8133,26194,26347,45.62,62.12
"17594",39,7891,16,7974,24483,24657,40,60.16
"17595",39,7620,18,7488,23531,23882,39.1,57.26
"17596",38,7168,17,7243,23178,23612,38.6,52.61
"17597",39,6542,18,6688,23144,23467,38.74,52.73
"17598",37,6341,17,6263,23915,24098,40,57.1
"17599",36,5980,15,6056,26490,26602,50,64.61
"17600",46,5915,129,5842,30088,30687,52.16,75.99
"17601",433,5803,549,5809,32680,32919,53.33,77.75
"17602",1375,5167,1581,5424,34147,34074,54.04,78.92
"17603",2314,4763,2567,4851,34416,34355,54.44,82.91
"17604",3047,4916,3154,4734,34112,33995,53.12,83.36
"17605",3529,5247,3536,5112,33663,33639,50.21,81.58
"17606",3758,5620,3639,5495,33360,33358,50.1,79.77
"17607",3779,5580,3637,5697,32181,32250,49.16,77.96
"17608",3712,5973,3462,5915,31551,31453,46.96,77.05
"17609",3488,6156,3016,6137,31093,30889,43.6,77.9
"17610",2839,6053,2245,6069,30847,30682,46.82,80.05
"17611",1333,5600,959,5668,30948,30784,51.99,84.23
"17612",342,5263,318,5331,33658,33688,55.4,84.91
"17613",172,5152,393,5106,34828,34917,55.08,84.77
"17614",132,5118,120,5112,34275,34323,54.85,79.19
"17615",77,4832,54,4929,31816,31833,52.09,75.83
"17616",76,4679,42,4665,28857,29058,50.51,74.36
"17617",562,10166,384,9879,26077,26130,34.49,69.61
"17618",440,10200,325,10333,24519,24570,29.87,63.2
"17619",334,10169,318,10206,23366,23293,28.97,60.67
"17620",328,10203,281,10127,22610,22615,26.9,58.75
"17621",266,10493,139,10270,22268,22292,27,57.84
"17622",194,10353,38,10435,22100,22100,27.98,59.48
"17623",157,9990,16,10174,22489,22659,29.87,68.36
"17624",163,9862,35,9936,23505,23635,32.09,77.19
"17625",373,9661,348,9803,24746,24725,34.42,79.16
"17626",1455,9231,1447,9381,26810,27086,35.1,81.03
"17627",3132,9599,3024,9363,28438,28399,32.85,82.3
"17628",4252,10065,4312,10009,28647,28306,31.93,82.39
"17629",4719,10337,5076,10322,28419,27974,31.6,78.97
"17630",4875,10539,5267,10502,28261,27906,29.41,77.52
"17631",4869,10864,5177,10858,27486,27147,26.62,75.31
"17632",4688,11111,5058,11110,26142,25954,25.3,73.51
"17633",4533,11311,4862,11217,25263,25087,24.83,74.34
"17634",4166,11515,4443,11400,24912,24709,26.75,78.73
"17635",3574,11006,3615,11095,24743,24635,32.83,84.87
"17636",2392,9905,2219,10092,25280,24884,38.49,84.48
"17637",1017,8330,1020,8690,27165,26733,39.6,83.59
"17638",696,7702,623,7821,29274,29226,40.73,77.14
"17639",677,6800,543,6967,27771,27955,39,71.54
"17640",675,6179,534,6276,26053,26459,38,69.52
"17641",122,8925,98,9170,23600,23330,34.5,58.58
"17642",122,8141,71,8370,22022,21563,29.18,56.29
"17643",122,7705,74,7852,21016,20403,25.43,57.67
"17644",122,7115,98,7294,20121,19606,25.43,55.28
"17645",122,6568,91,6715,19503,19306,28.86,48.78
"17646",119,6222,108,6278,19176,19272,30.01,51.66
"17647",77,5927,128,5946,19066,19522,34.01,60.77
"17648",149,5408,227,5555,18497,19436,34.98,71.02
"17649",863,5221,1242,5329,18723,20389,36.45,76.18
"17650",2306,4754,2666,4805,20753,22292,36.48,78.64
"17651",4133,4902,3934,4673,21916,23646,36.49,80.23
"17652",4978,4939,4954,4940,22421,24305,36.48,79.94
"17653",5425,4538,5418,4623,22723,24397,40.01,79.89
"17654",5561,4375,5545,4359,22979,24593,40.61,77.51
"17655",5564,4458,5547,4362,22849,24244,39.9,77.5
"17656",5451,4549,5392,4521,21441,23098,36.43,77.16
"17657",5157,4158,5056,4263,20331,22363,34.01,76.32
"17658",4671,3862,4658,4036,19839,22032,34.98,80.72
"17659",4055,3448,3915,3495,20035,22179,36.45,84.12
"17660",3097,3070,2810,3195,21023,22613,42,85.89
"17661",1648,2422,1491,2651,23001,23947,49.54,84.16
"17662",781,2098,880,2142,25864,26841,56.5,80.24
"17663",620,1900,718,1950,26022,26717,57.01,73.53
"17664",612,1795,597,1811,24049,24761,53.34,76.06
"17665",561,3391,493,3561,26383,25976,56.12,67.4
"17666",547,2866,455,3062,24964,24698,54.21,62.4
"17667",529,2647,440,2606,24028,23729,52.25,61.49
"17668",523,2582,474,2534,23650,23415,51.04,57.99
"17669",481,2434,459,2387,23496,23243,51.57,56.65
"17670",375,2457,391,2399,23761,23753,52.31,57.95
"17671",319,2181,353,2203,25219,25294,54.93,63.81
"17672",440,1999,559,2025,27692,27700,56.02,68.62
"17673",1052,1575,1504,1700,29978,29746,56.08,73.33
"17674",2489,1339,2936,1344,31412,30959,56.08,73.58
"17675",3934,1463,4035,1374,32361,31728,56.08,79.11
"17676",4641,1548,4365,1534,32960,32469,56.19,78.57
"17677",4934,1564,4600,1578,33545,33069,57.15,79.71
"17678",5052,1624,4914,1610,33554,33291,57.37,78.36
"17679",4928,1780,4836,1759,32610,32499,56.57,76.29
"17680",4596,2037,4633,1943,32129,32097,56.51,73.59
"17681",4237,2243,4381,2218,31908,32272,56.19,74.14
"17682",3752,2598,3945,2395,32100,32419,56.12,78.6
"17683",3074,2931,3200,2787,31697,32012,55.5,82.84
"17684",2282,3216,2281,3169,31336,31450,55.5,83.76
"17685",1392,3145,1355,3238,31057,31418,56.08,84.13
"17686",717,3316,809,3150,31226,31650,56.89,82.7
"17687",564,3620,585,3595,30341,30594,55.5,80.49
"17688",528,3700,495,3706,27902,28217,52.65,77.79
"17689",652,5951,594,6004,26850,26689,50.05,73.6
"17690",644,5757,577,5477,25279,25231,49.27,67.98
"17691",644,5365,455,5453,24059,24075,44.9,64.99
"17692",634,5402,512,5176,23350,23445,43.97,61.41
"17693",579,5162,545,5244,22969,23085,42.73,59.88
"17694",464,5046,437,5031,22718,22815,42.03,60.57
"17695",357,5126,370,5099,22600,22707,42.03,62.76
"17696",418,5159,535,5162,22740,23013,41.7,65.13
"17697",1135,5053,1396,5081,24351,24436,42.84,68.71
"17698",2868,5230,3056,5081,26362,26247,43.99,73.17
"17699",4020,5452,4072,5360,27956,27738,43.97,79.18
"17700",4569,5380,4650,5457,28592,28385,44.9,76.37
"17701",4860,5216,5063,5336,28948,28687,46.01,76.42
"17702",4896,5265,5218,5189,29207,28631,49.27,75.92
"17703",4904,5216,5258,5361,28609,28035,47,76.1
"17704",4853,5018,5058,5249,27367,26843,43.97,71.46
"17705",4691,5159,4866,5099,26721,26234,42,66.48
"17706",4314,5371,4585,5411,26479,25998,41.51,76.38
"17707",3839,5673,4075,5760,26514,25906,41.51,83.04
"17708",3251,5909,3293,5973,26821,26105,42.03,84.6
"17709",2287,6168,2136,6158,27178,26407,43.99,80.97
"17710",1124,6252,1149,6244,27528,26883,47.82,80.41
"17711",765,6528,798,6371,27683,27309,49.03,76.67
"17712",723,6989,715,6757,26400,25939,43.99,73.17
"17713",613,4756,524,4899,28475,28638,50.81,76.08
"17714",434,3797,430,4160,26773,26969,47,68.98
"17715",374,2976,382,3196,25595,25783,44.01,64.31
"17716",300,2237,295,2529,25069,25164,43.4,59.1
"17717",259,1928,221,1958,24754,24809,43.4,57.25
"17718",201,1834,155,1793,24972,25131,44.98,56.44
"17719",139,1844,130,1821,26576,26777,47.73,56.77
"17720",139,1607,184,1729,28113,28697,48.29,59.44
"17721",438,1227,568,1330,30076,31197,50.42,60.28
"17722",1012,996,1255,1047,32180,33525,54.09,61.34
"17723",1663,914,2115,878,33429,34941,54.75,64.74
"17724",2274,822,2874,925,34252,35752,54.69,67.49
"17725",2730,959,3303,961,35201,36499,55.44,73
"17726",2999,1183,3209,1209,35800,36762,55.44,70.76
"17727",3226,1646,3164,1580,35329,36049,54.75,64.98
"17728",3284,2082,3182,2028,34639,35153,53.8,60.35
